Abstract,Associated Group,Author Identifiers,Authors,Authors (Full Names),Beginning Page,BIOSIS Citation Index,Book Author,Book Author Fullname,Book DOI,Book Group Authors,Book Series Subtitle,Book Series Title,Chinese Science Citation DB,Cited Patent,Cited Reference Count,Cited References,City of Publisher,Conference Dates,Conference Host,Conference Location,Conference Sponsors,Conference Title,Document Type,DOI,E-mail Addresses,Edited by,Editors,Ending Page,File Type,Funding Agency and Grant Number,Funding Text,Group Authors,ISBN,ISI Document Delivery Number,ISSN,Issue,Journal Name (Abbreviated ISO),Journal Name (Abbreviated),Journal Title (Full),Language,Meeting Abstract,New Article Number,New ISI Keywords,Number of Pages,ORCID Number,Original Keywords,Part Number,Publication Date,Publication Type,Publication Year,Publisher,Publisher Address,Publisher Web Address,Reprint Address,Research Addresses,Research Field,Researcher ID,SC:ELO Citation Index,Special Issue,Subject Category,Supplement,Times Cited,Title,Total Times Cited,Translated Title,Unique ID,Version Number,Volume,EI,PM,File Name,Cite Me As
"Purpose: Facial fractures in the pediatric population have a significant impact on public health. Although some demographic data exists regarding the overall epidemiology of facial fractures, little attention has been paid to the patterns of facial fractures based on the etiology of the trauma. Material and methods: The Kids' Inpatient Database 2000-2009 was utilized to analyze pediatric facial fractures. A total of 21,533 patients were identified. Associations of patient characteristics with outcomes of interest were assessed. Results: The top three etiologies were motor vehicle accident (MVA), intentional trauma (IT), and falls. There was a decrease in the incidence of facial fractures due to MVAs and an increase in injuries due to IT and falls. Concomitant injuries were present in 58.8% and the mortality rate was 2%. The rate of concomitant injuries increased during study period. Age was significantly associated with concomitant injury, mortality, and LOS. Conclusion: The increasing rate of IT and falls with concomitant injury warrants special consideration to reduce undiagnosed accompanying injuries. Further programs should be put in place to protect children younger than 5 years of age, who have increased risk of concomitant injury and mortality following intentional trauma. (C) 2015 European Association for Cranio-Maxillo-Facial Surgery. Published by Elsevier Ltd. All rights reserved.",,,"Bell, TM|Fernandez, SI|Flores, RL|Greathouse, ST|O'Neil, J|Soleimani, T|Tholpady, SS","Bell, Teresa M.|Fernandez, Sarah I.|Flores, Roberto L.|Greathouse, S. Travis|O'Neil, Joseph|Soleimani, Tahereh|Tholpady, Sunil S.",1979,-1,,,,,,,-1,,-1,,,,,,,,Article,10.1016/j.jcms.2015.10.008,,,,1985,Clarivate Analytics Web of Science,,,,,,1010-5182,10,,,JOURNAL OF CRANIO-MAXILLOFACIAL SURGERY,,,,RISK REDUCTION RESOURCES|1 TRAUMA CENTER|UNITED-STATES|INTERPERSONAL VIOLENCE|INJURIES|PATTERNS|DEMOGRAPHICS|ETIOLOGY|SUCCESS|PATIENT,-1,,Facial fracture|Motor vehicle accident|Fall|Intentional trauma|Outcome,,DEC,J,2015,,,,,,"Dentistry, Oral Surgery & Medicine|Surgery",,-1,,"Dentistry, Oral Surgery & Medicine; Surgery",,4,Epidemiology and cause-specific outcomes of facial fracture in hospitalized children,4,,WOS:000367106300008,1,43,1878-4119,26553430,C:\Users\mginda\Desktop\agc1\wos-extract.isi,"Soleimani T, 2015, V43, P1979, DOI 10.1016/j.jcms.2015.10.008"
"Purpose: Studies examining postinjury functional status have demonstrated that individuals with severe injuries often do not return to baseline levels of physical functioning. We sought to investigate the impact injuries have on changes in physical functioning across the life course of older adults. The study's objectives were to (1) identify trajectories of long-term functional limitations after injury in the older adult population to better characterize the recovery process and (2) predict which individuals are most at risk for poor functional trajectories after injury. Methods: A retrospective cohort study was conducted using six waves of data from the Health and Retirement Study, which surveys Americans older than 50 years every two years. A group-based trajectory model was used to identify trajectories of functional limitations in injured participants. Using multivariate regression, we identified significant predictors of each trajectory. Results: Five distinct trajectories were identified: Trajectory 1 consistently low functional limitations scores (18.9%), Trajectory 2 increase in functional limitations after injury followed by a gradual, incomplete recovery (46.3%). Trajectory 3 increase in functional limitations followed by further decline in functioning (10.5%), Trajectory 4 increase in functional limitations after injury followed by a gradual, complete recovery (13.4%), and Trajectory 5 consistently high functional limitations scores (10.8%). Gender, multiple health conditions, and insurance status predicted trajectory membership. Conclusions: Functional limitations after injury follow distinct trajectories that can be predicted by baseline individual characteristics. (C) 2015 Elsevier Inc. All rights reserved.",,,"Bell, TM|Nolly, R|Ozdenerol, E|Relyea, G|Wang, JL|Zarzaur, BL","Bell, Teresa M.|Nolly, Robert|Ozdenerol, Esra|Relyea, George|Wang, Junling|Zarzaur, Ben L., Jr.",894,-1,,,,,,,-1,,-1,,,,,,,,Article,10.1016/j.annepidem.2015.08.012,,,,900,Clarivate Analytics Web of Science,,,,,,1047-2797,12,,,ANNALS OF EPIDEMIOLOGY,,,,QUALITY-OF-LIFE|LOWER-EXTREMITY TRAUMA|MAJOR TRAUMA|ORTHOPEDIC TRAUMA|FOLLOW-UP|OUTCOMES|HEALTH|DISABILITY|SEVERITY|CARE,-1,,Injury|Elderly|Aging|Life course epidemiology|Disability,,DEC,J,2015,,,,,,"Public, Environmental & Occupational Health",,-1,,"Public, Environmental & Occupational Health",,2,Predictors of functional limitation trajectories after injury in a nationally representative US older adult population,2,,WOS:000366441100003,1,25,1873-2585,26481503,C:\Users\mginda\Desktop\agc1\wos-extract.isi,"Bell TM, 2015, V25, P894, DOI 10.1016/j.annepidem.2015.08.012"
"Background: Global health experiences evoke a profound awareness of cultural differences, inspire learners to prioritize professional values, and provide a lens for addressing global health care challenges. This study compares the long-term career and practice choices of participants in a 2-month Indiana University-Moi University, Kenya elective from 1989-2013 with those of a control group. Methods: Global health elective (GHE) participants and a random sample of alumni without GHE experience were surveyed on their clinical practice, public health and global health activities. Results: Responses from 176 former participants were compared with a control group of 177 alumni. GHE participants were more likely than similar controls to provide care to underserved U.S. populations (p=0.037), spend time in global health, public health, and public policy activities (p=0.005) and be involved in global health advocacy (p=0.001). Using multivariable analysis, GHE participants were more likely to be generalists (p < 0.05), report that healthcare costs influenced medical decision-making (p < 0.05), and provide healthcare outside the U.S. for >= 1 week/year (p < 0.001). Conclusions: Many years out of training, GHE participants were more likely to be generalists working with underserved populations, to be cost-conscious in their healthcare decision-making, and to be involved in global health, public health or public policy. (C) 2015 Elsevier Inc. All rights reserved.",,,"Ayuo, PO|Gardner, A|Helphinstine, J|Huskins, JC|Johnson, CS|Litzelman, DK|Machogu, EP|Mining, S|Stone, GS|Umoren, RA","Ayuo, Paul O.|Gardner, Adrian|Helphinstine, Jill|Huskins, Jordan C.|Johnson, Cynthia S.|Litzelman, Debra K.|Machogu, Emily P.|Mining, Simeon|Stone, Geren S.|Umoren, Rachel A.",185,-1,,,,,,,-1,,-1,,,,,,,,Article,10.1016/j.hjdsi.2015.10.001,,,,189,Clarivate Analytics Web of Science,,,,,,2213-0764,4,,,HEALTHCARE-THE JOURNAL OF DELIVERY SCIENCE AND INNOVATION,,,,,-1,,Medical education|Global health electives|Residents|Career choice|Medical practice,,DEC,J,2015,,,,,,Health Care Sciences & Services,,-1,,Health Care Sciences & Services,,8,Career choices and global health engagement: 24-year follow-up of U.S. participants in the Indiana University-Moi University elective,8,,WOS:000218914000003,1,3,2213-0772,26699341,C:\Users\mginda\Desktop\agc1\wos-extract.isi,"Umoren RA, 2015, V3, P185, DOI 10.1016/j.hjdsi.2015.10.001"
,,,"Meyerson, BE|Priest, CF|Silverman, RD","Meyerson, Beth E.|Priest, Caitlin F.|Silverman, Ross D.",2083,-1,,,,,,,-1,,-1,,,,,,,,Letter,,,,,2083,Clarivate Analytics Web of Science,,,,,,0098-7484,19,,,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,,,,,-1,,,,17-Nov,J,2015,,,,,,"Medicine, General & Internal",,-1,,General & Internal Medicine,,0,Needle Exchange Programs for HIV Outbreaks,0,,WOS:000364764200031,1,314,1538-3598,,C:\Users\mginda\Desktop\agc1\wos-extract.isi,"Silverman RD, 2015, V314, P2083"
,,,"Bramson, L|Class, QA|D'Onofrio, BM|Larsson, H|Lichtenstein, P|Rickert, ME","Bramson, Lauren|Class, Quetzal A.|D'Onofrio, Brian M.|Larsson, Henrik|Lichtenstein, Paul|Rickert, Martin",644,-1,,,,,,,-1,,-1,,,"JUN 17-20, 2015",,"San Diego, CA",,45th Annual Meeting of the Behavior-Genetics-Association,Meeting Abstract,,,,,644,Clarivate Analytics Web of Science,,,,,,0001-8244,6,,,BEHAVIOR GENETICS,,,,,-1,,,,NOV,J,2015,,,,,,"Behavioral Sciences|Genetics & Heredity|Psychology, Multidisciplinary",,-1,SI,Behavioral Sciences; Genetics & Heredity; Psychology,,0,The intergenerational transmission of suicidal behavior: a children of twins and siblings study,0,,WOS:000364978800020,1,45,1573-3297,,C:\Users\mginda\Desktop\agc1\wos-extract.isi,"Bramson L, 2015, V45, P644"
,,,"Almqvist, C|Bramson, L|Class, QA|D'Onofrio, BM|Larsson, H|Lichtenstein, P|Oberg, AS|Rickert, ME","Almqvist, Catarina|Bramson, Lauren|Class, Quetzal A.|D'Onofrio, Brian M.|Larsson, Henrik|Lichtenstein, Paul|Oberg, Anna S.|Rickert, Martin",653,-1,,,,,,,-1,,-1,,,"JUN 17-20, 2015",,"San Diego, CA",,45th Annual Meeting of the Behavior-Genetics-Association,Meeting Abstract,,,,,654,Clarivate Analytics Web of Science,,,,,,0001-8244,6,,,BEHAVIOR GENETICS,,,,,-1,,,,NOV,J,2015,,,,,,"Behavioral Sciences|Genetics & Heredity|Psychology, Multidisciplinary",,-1,SI,Behavioral Sciences; Genetics & Heredity; Psychology,,0,Maternal body mass index and offspring fetal growth: a cousin- and sibling-comparison study,0,,WOS:000364978800051,1,45,1573-3297,,C:\Users\mginda\Desktop\agc1\wos-extract.isi,"D'Onofrio B, 2015, V45, P653"
,,,"Almqvist, C|Bolte, S|D'Onofrio, BM|Gong, T|Larsson, H|Lichtenstein, P|Lundholm, C|Rejno, G","Almqvist, Catarina|Bolte, Sven|D'Onofrio, Brian M.|Gong, Tong|Larsson, Henrik|Lichtenstein, Paul|Lundholm, Cecilia|Rejno, Gustaf",658,-1,,,,,,,-1,,-1,,,"JUN 17-20, 2015",,"San Diego, CA",,45th Annual Meeting of the Behavior-Genetics-Association,Meeting Abstract,,,,,658,Clarivate Analytics Web of Science,,,,,,0001-8244,6,,,BEHAVIOR GENETICS,,,,,-1,,,,NOV,J,2015,,,,,,"Behavioral Sciences|Genetics & Heredity|Psychology, Multidisciplinary",,-1,SI,Behavioral Sciences; Genetics & Heredity; Psychology,,0,Parental asthma and maternal asthma medication during pregnancy and risk of offspring autism spectrum disorder,0,,WOS:000364978800065,1,45,1573-3297,,C:\Users\mginda\Desktop\agc1\wos-extract.isi,"Gong T, 2015, V45, P658"
,,,"Anckarsater, H|D'Onofrio, BM|Gumpert, CH|Langstorm, N|Larsson, H|Lichtenstein, P|Lundstrom, S|Pettersson, E|Quinn, PD","Anckarsater, Henrik|D'Onofrio, Brian M.|Gumpert, Clara Hellner|Langstorm, Niklas|Larsson, Henrik|Lichtenstein, Paul|Lundstrom, Sebastian|Pettersson, Erik|Quinn, Patrick D.",682,-1,,,,,,,-1,,-1,,,"JUN 17-20, 2015",,"San Diego, CA",,45th Annual Meeting of the Behavior-Genetics-Association,Meeting Abstract,,,,,682,Clarivate Analytics Web of Science,,,,,,0001-8244,6,,,BEHAVIOR GENETICS,,,,,-1,,,,NOV,J,2015,,,,,,"Behavioral Sciences|Genetics & Heredity|Psychology, Multidisciplinary",,-1,SI,Behavioral Sciences; Genetics & Heredity; Psychology,,0,"Childhood attention-deficit/hyperactivity disorder symptoms and the development of adolescent alcohol problems: a prospective, population-based study of Swedish twins",0,,WOS:000364978800146,1,45,1573-3297,,C:\Users\mginda\Desktop\agc1\wos-extract.isi,"Quinn P, 2015, V45, P682"
,,,"Class, QA|Coyne, CA|D'Onofrio, BM|Lahey, BB|Larsson, H|Lichtenstein, P|Malmros, CA|Oberg, AS|Rickert, ME|Sjolander, A|Sujan, AC|Van Hulle, CA|Waldman, ID","Class, Quetzal A.|Coyne, Claire A.|D'Onofrio, Brian M.|Lahey, Benjamin B.|Larsson, Henrik|Lichtenstein, Paul|Malmros, Catarina Almqvist|Oberg, Anna S.|Rickert, Martin|Sjolander, Arvid|Sujan, Ayesha C.|Van Hulle, Carol A.|Waldman, Irwin D.",689,-1,,,,,,,-1,,-1,,,"JUN 17-20, 2015",,"San Diego, CA",,45th Annual Meeting of the Behavior-Genetics-Association,Meeting Abstract,,,,,689,Clarivate Analytics Web of Science,,,,,,0001-8244,6,,,BEHAVIOR GENETICS,,,,,-1,,,,NOV,J,2015,,,,,,"Behavioral Sciences|Genetics & Heredity|Psychology, Multidisciplinary",,-1,SI,Behavioral Sciences; Genetics & Heredity; Psychology,,0,A genetically informed study of the associations between maternal age at childbearing and adverse perinatal outcomes,0,,WOS:000364978800168,1,45,1573-3297,,C:\Users\mginda\Desktop\agc1\wos-extract.isi,"Sujan A, 2015, V45, P689"
,,,"Bulik, CM|D'Onofrio, BM|Kuja-Halkola, R|Larsson, H|Runfola, CD|Sjolander, A|Thornton, LM|Yao, SY","Bulik, Cynthia M.|D'Onofrio, Brian M.|Kuja-Halkola, Ralf|Larsson, Henrik|Runfola, Cristin D.|Sjolander, Arvid|Thornton, Laura M.|Yao, Shuyang",694,-1,,,,,,,-1,,-1,,,"JUN 17-20, 2015",,"San Diego, CA",,45th Annual Meeting of the Behavior-Genetics-Association,Meeting Abstract,,,,,694,Clarivate Analytics Web of Science,,,,,,0001-8244,6,,,BEHAVIOR GENETICS,,,,,-1,,,,NOV,J,2015,,,,,,"Behavioral Sciences|Genetics & Heredity|Psychology, Multidisciplinary",,-1,SI,Behavioral Sciences; Genetics & Heredity; Psychology,,0,Familial liability for eating disorders and suicidal behavior: a population-based study in Sweden,0,,WOS:000364978800185,1,45,1573-3297,,C:\Users\mginda\Desktop\agc1\wos-extract.isi,"Yao SY, 2015, V45, P694"
"With the ultimate goal of improving child outcomes, child-informed mediation approaches were developed for divorcing and separating parents. To test the initial outcomes of these approaches, Ballard, Holtzworth-Munroe, Applegate, D'Onofrio, and Bates (2013) randomly assigned divorcing parents seeking mediation to either mediation as usual (MAU) or to 1 of 2 child-informed mediation approaches [i.e., child-inclusive (CI) or child-focused (CF) mediation]. As Ballard et al. (2013) only presented outcomes at the conclusion of mediation, the current study examined the frequency of relitigation across the study conditions (MAU vs. CF/CI; CF vs. CI), and explored associations between relitigation and content of the mediation agreements. Consistent with our hypothesis, parents assigned to MAU in comparison with CF/CI, as well as CF in comparison with CI, had more motions, hearings, and orders in the year following the final resolution of mediation issues. The differences between MAU and CF/CI were small in magnitude and statistically nonsignificant trends; the differences between CF and CI were medium to large in magnitude and statistically significant. Mediation agreements that included aspirational language about coparental communication and the parent-child relationship, provisions about communication between parents, and were rated as higher in facilitating the coparental relationship, and child-adjustment, were associated with less relitigation. Number of weeknights allotted to the nonresidential parent was also related to fewer motions. The implications of these findings for family mediation are discussed.",,,"Applegate, AG|D'Onofrio, BM|Holtzworth-Munroe, A|Ogle, RK|Rudd, BN","Applegate, Amy G.|D'Onofrio, Brian M.|Holtzworth-Munroe, Amy|Ogle, Rachel K.|Rudd, Brittany N.",452,-1,,,,,,,-1,,-1,,,,,,,,Article,10.1037/law0000046,,,,457,Clarivate Analytics Web of Science,,,,,,1076-8971,4,,,PSYCHOLOGY PUBLIC POLICY AND LAW,,,,PARENTAL DIVORCE|ADJUSTMENT,-1,,family mediation|child informed mediation|family law interventions,,NOV,J,2015,,,,,,"Health Policy & Services|Law|Psychology, Multidisciplinary",,-1,,Health Care Sciences & Services; Government & Law; Psychology,,4,Child-Informed Mediation Study Follow-Up: Comparing the Frequency of Relitigation Following Different Types of Family Mediation,4,,WOS:000365081300012,1,21,1939-1528,,C:\Users\mginda\Desktop\agc1\wos-extract.isi,"Rudd BN, 2015, V21, P452, DOI 10.1037/law0000046"
"High-grade serous ovarian cancer (HGSOC) accounts for 70-80% of ovarian cancer deaths, and overall survival has not changed significantly for several decades. In this Opinion article, we outline a set of research priorities that we believe will reduce incidence and improve outcomes for women with this disease. This 'roadmap' for HGSOC was determined after extensive discussions at an Ovarian Cancer Action meeting in January 2015.",,"Drapkin, Ronny/E-9944-2016; Bowtell, David/H-1007-2016; Bast, Robert/E-6585-2011; Romero, Iris/N-8451-2018","Ahmed, AA|Aspuria, PJ|Balkwill, FR|Bast, RC|Beral, V|Berek, JS|Birrer, MJ|Blagden, S|Bohm, S|Bookman, MA|Bowtell, DD|Brenton, JD|Chiappinelli, KB|Coukos, G|Drapkin, R|Edmondson, R|Fotopoulou, C|Gabra, H|Galon, J|Gourley, C|Heong, V|Huntsman, DG|Iwanicki, M|Karlan, BY|Kaye, A|Lengyel, E|Levine, DA|Lu, KH|Martins, FC|McNeish, IA|Menon, U|Narod, SA|Nelson, BH|Nephew, KP|Pharoah, P|Powell, DJ|Ramos, P|Romero, IL|Scott, CL|Sood, AK|Stronach, EA","Ahmed, Ahmed A.|Aspuria, Paul-Joseph|Balkwill, Frances R.|Bast, Robert C., Jr.|Beral, Valerie|Berek, Jonathan S.|Birrer, Michael J.|Blagden, Sarah|Boehm, Steffen|Bookman, Michael A.|Bowtell, David D.|Brenton, James D.|Chiappinelli, Katherine B.|Coukos, George|Drapkin, Ronny|Edmondson, Richard|Fotopoulou, Christina|Gabra, Hani|Galon, Jerome|Gourley, Charlie|Heong, Valerie|Huntsman, David G.|Iwanicki, Marcin|Karlan, Beth Y.|Kaye, Allyson|Lengyel, Ernst|Levine, Douglas A.|Lu, Karen H.|Martins, Filipe Correia|McNeish, Iain A.|Menon, Usha|Narod, Steven A.|Nelson, Brad H.|Nephew, Kenneth P.|Pharoah, Paul|Powell, Daniel J., Jr.|Ramos, Pilar|Romero, Iris L.|Scott, Clare L.|Sood, Anil K.|Stronach, Euan A.",668,-1,,,,,,,-1,,-1,,,,,,,,Review,10.1038/nrc4019,,,,679,Clarivate Analytics Web of Science,,,,,,1474-175X,11,,,NATURE REVIEWS CANCER,,,,BRCA MUTATION CARRIERS|TUBAL-INTRAEPITHELIAL-CARCINOMA|OLAPARIB MAINTENANCE THERAPY|SINGLE-THRESHOLD RULE|HUMAN BREAST-TUMORS|CELL LUNG-CANCER|FALLOPIAN-TUBE|T-CELLS|GERMLINE MUTATIONS|SOMATIC MUTATIONS,-1,"Drapkin, Ronny/0000-0002-6912-6977; Bowtell, David/0000-0001-9089-7525; Bast, Robert/0000-0003-4621-8462; Romero, Iris/0000-0001-5849-5024; Lengyel, Ernst/0000-0001-8624-1507; Brenton, James/0000-0002-5738-6683; Menon, Usha/0000-0003-3708-1732; McNeish, Iain/0000-0002-9387-7586; Balkwill, Frances/0000-0002-5587-9759; Galon, Jerome/0000-0001-9635-1339; Coukos, George/0000-0001-8813-7367",,,NOV,J,2015,,,,,,Oncology,,-1,,Oncology,,160,Rethinking ovarian cancer II: reducing mortality from high-grade serous ovarian cancer,166,,WOS:000363691100007,1,15,1474-1768,26493647,C:\Users\mginda\Desktop\agc1\wos-extract.isi,"Bowtell DD, 2015, V15, P668, DOI 10.1038/nrc4019"
"Although many reviews exist characterizing the molecular differences of GABA(B) receptor isoforms, there is no current review of the in vivo effects of these isoforms. The current review focuses on whether the GABA(B1a) and GABA(B1b) isoforms contribute differentially to behaviors in isoform knockout mice. The roles of these receptors have primarily been characterized in cognitive, anxiety, and depressive phenotypes. Currently, the field supports a role of GABA(B1a) in memory maintenance and protection against an anhedonic phenotype, whereas GABA(B1b) appears to be involved in memory formation and a susceptibility to developing an anhedonic phenotype. Although GABA(B) receptors have been strongly implicated in drug abuse phenotypes, no isoform-specific work has been done in this field. Future directions include developing site-specific isoform knockdown to identify the role of different brain regions in behavior, as well as identifying how these isoforms are involved in development of behavioral phenotypes. (C) 2015 Elsevier Ltd. All rights reserved.",,,"Boehm, SL|Kasten, CR","Boehm, Stephen L., II|Kasten, Chelsea R.",70,-1,,,,,,,-1,,-1,,,,,,,,Review,10.1016/j.neubiorev.2015.08.007,,,,87,Clarivate Analytics Web of Science,,,,,,0149-7634,,,,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS,,,,GAMMA-AMINOBUTYRIC-ACID|PARACAPSULAR GABAERGIC SYNAPSES|RAT BASOLATERAL AMYGDALA|VENTRAL TEGMENTAL AREA|EARLY-LIFE STRESS|SUBUNIT EXPRESSION|PRESYNAPTIC INHIBITION|ACTIVATION MECHANISM|ETHANOL POTENTIATION|GLUTAMATE RELEASE,-1,"Kasten, Chelsea/0000-0002-6502-1051",GABA(B) receptor|Isoform|Knockout|Cognition|Depression|Drugs of abuse,,OCT,J,2015,,,,,,Behavioral Sciences|Neurosciences,,-1,,Behavioral Sciences; Neurosciences & Neurology,,6,Identifying the role of pre-and postsynaptic GABA(B) receptors in behavior,7,,WOS:000364271200005,1,57,1873-7528,26283074,C:\Users\mginda\Desktop\agc1\wos-extract.isi,"Kasten CR, 2015, V57, P70, DOI 10.1016/j.neubiorev.2015.08.007"
,,,"Hendrix, KS|Silverman, RD","Hendrix, Kristin S.|Silverman, Ross D.",852,-1,,,,,,,-1,,-1,,,,,,,,Editorial Material,10.1378/chest.15-1163,,,,854,Clarivate Analytics Web of Science,,,,,,0012-3692,4,,,CHEST,,,,PUBLIC-HEALTH|EXEMPTIONS|COUNTRIES|COST,-1,,,,OCT,J,2015,,,,,,Critical Care Medicine|Respiratory System,,-1,,General & Internal Medicine; Respiratory System,,2,POINT: Should Childhood Vaccination Against Measles Be a Mandatory Requirement for Attending School? Yes,2,,WOS:000363956300019,1,148,,26043226,C:\Users\mginda\Desktop\agc1\wos-extract.isi,"Silverman RD, 2015, V148, P852, DOI 10.1378/chest.15-1163"
,,,"Hendrix, KS|Silverman, RD","Hendrix, Kristin S.|Silverman, Ross D.",856,-1,,,,,,,-1,,-1,,,,,,,,Editorial Material,10.1378/chest.15-1164,,,,857,Clarivate Analytics Web of Science,,,,,,0012-3692,4,,,CHEST,,,,,-1,,,,OCT,J,2015,,,,,,Critical Care Medicine|Respiratory System,,-1,,General & Internal Medicine; Respiratory System,,0,Should Childhood Vaccination Against Measles Be a Mandatory Requirement for Attending School? No,0,,WOS:000363956300021,1,148,,26043426,C:\Users\mginda\Desktop\agc1\wos-extract.isi,"Silverman RD, 2015, V148, P856, DOI 10.1378/chest.15-1164"
,,,"Almqvist, C|D'Onofrio, BM|Frans, E|Lundholm, C|Olsson, H|Ullemar, V","Almqvist, Catarina|D'Onofrio, Brian M.|Frans, Emma|Lundholm, Cecilia|Olsson, Henrik|Ullemar, Vilhelmina",1103,-1,,,,,,,-1,,-1,,,,,,,,Letter,10.1016/j.jaci.2015.04.006,,,,1105,Clarivate Analytics Web of Science,,,,,,0091-6749,4,,,JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,,,,CHILDHOOD ASTHMA|ALLERGIC DISEASE|RISK|RECOMBINANT|FETAL,-1,"Ullemar, Vilhelmina/0000-0002-8759-765X; Lundholm, Cecilia/0000-0002-6546-3650",,,OCT,J,2015,,,,,,Allergy|Immunology,,-1,,Allergy; Immunology,,1,Association between parental age and asthma in a population-based register study,1,,WOS:000362976300033,1,136,1097-6825,25979520,C:\Users\mginda\Desktop\agc1\wos-extract.isi,"Almqvist C, 2015, V136, P1103, DOI 10.1016/j.jaci.2015.04.006"
"Objectives Preconception maternal bereavement may be associated with an increased risk for infant mortality, although these previously reported findings have not been replicated. We sought to examine if the association could be replicated and explore if risk extended into childhood. Methods Using a Danish population-based sample of offspring born 1979 to 2009 (N = 1,865,454), we analyzed neonatal (0-28 days), postneonatal infant (29-364 days), and early childhood (1-5 years) mortality after maternal bereavement in the preconception (6-0 months before pregnancy) and prenatal (between conception and birth) periods. Maternal bereavement was defined as death of a first-degree relative of the mother. Analyses were conducted using logistic and log-linear Poisson regressions that were adjusted for offspring, mother, and father sociodemographic and health factors. Results We identified 6541 (0.004%) neonates, 3538 (0.002%) postneonates, and 2132 (0.001%) children between the ages of 1 and 5 years who died. After adjusting for covariates, bereavement during the preconception period was associated with increased odds of neonatal (adjusted odds ratio = 1.87, 95% confidence interval = 1.53-2.30) and postneonatal infant mortality (adjusted odds ratio = 1.52, 95% confidence interval = 1.15-2.02). Associations were timing specific (6 months before pregnancy only) and consistent across sensitivity analyses. Bereavement during the prenatal period was not consistently associated with increased risk of offspring mortality; however, this may reflect relatively low statistical power. Conclusions Results support and extend previous findings linking bereavement during the preconception period with increased odds of early offspring mortality. The period immediately before pregnancy may be a sensitive period with potential etiological implications and ramifications for offspring mortality.",,,"Class, QA|Dalman, C|D'Onofrio, BM|Henriksen, TB|Khashan, AS|Mortensen, PB","Class, Quetzal A.|Dalman, Christina|D'Onofrio, Brian M.|Henriksen, Tine B.|Khashan, Ali S.|Mortensen, Preben B.",863,-1,,,,,,,-1,,-1,,,,,,,,Article,10.1097/PSY.0000000000000229,,,,869,Clarivate Analytics Web of Science,,,,,,0033-3174,8,,,PSYCHOSOMATIC MEDICINE,,,,LIFE EVENTS|SPONTANEOUS-ABORTION|DEATH-SYNDROME|COHORT|RISK|STRESS|STILLBIRTH|PREGNANCY|PRETERM|HEALTH,-1,"Mortensen, Preben Bo/0000-0002-5230-9865",bereavement|infant mortality|preconception|prenatal|stress|CI = confidence interval|OR = odds ratio|RR = relative risk,,OCT,J,2015,,,,,,"Psychiatry|Psychology|Psychology, Multidisciplinary",,-1,,Psychiatry; Psychology,,3,Preconception Maternal Bereavement and Infant and Childhood Mortality: A Danish Population-Based Study,3,,WOS:000362707700003,1,77,1534-7796,26374948,C:\Users\mginda\Desktop\agc1\wos-extract.isi,"Class QA, 2015, V77, P863, DOI 10.1097/PSY.0000000000000229"
"Despite a lack of research on parent education programs for unmarried parents, many judicial officers mandate participation. We recruited an understudied sample likely at high risk for negative outcomes-182 court cases involving unmarried parents on government assistance in which paternity was contested and then established via genetic testing ordered by the court. This 2 x 2 randomized controlled trial evaluated the impact on initial litigation outcomes of two factors: (a) participation in an online parent education program or not and (b) having a waiting period between the establishment of paternity and the court hearing concerning child-related issues or not. Using an intent-to-treat framework, we found that among cases not assigned to the program, there was no difference in the rate of full agreement on child-related issues (e.g., child support, custody, parenting time) when comparing cases assigned to a waiting period and cases not assigned to a waiting period. In contrast, for cases assigned to the program, cases also assigned a waiting period were less likely to reach a full agreement than cases that had their hearing on the same day. In addition, cases in the ""program and waiting period"" condition were less likely to return to court for their hearing than cases in the ""no program and waiting period"" condition. In exploratory analyses of the subsample of cases in which both parents were present at the court hearing, the pattern of results remained the same, although the findings were no longer statistically significant.",,,"Applegate, AG|D'Onofrio, BM|Holtzworth-Munroe, A|Reyome, JG|Rudd, BN","Applegate, Amy G.|D'Onofrio, Brian M.|Holtzworth-Munroe, Amy|Reyome, Jason G.|Rudd, Brittany N.",679,-1,,,,,,,-1,,-1,,,,,,,,Article,10.1037/fam0000106,,,,686,Clarivate Analytics Web of Science,,,,,,0893-3200,5,,,JOURNAL OF FAMILY PSYCHOLOGY,,,,DIVORCE,-1,,unmarried parents|Title IV-D|contested paternity|paternity establishment|online parent education,,OCT,J,2015,,,,,,"Psychology, Clinical|Family Studies",,-1,,Psychology; Family Studies,,4,Randomized Control Trial: Online Parent Program and Waiting Period for Unmarried Parents in Title IV-D Court,4,,WOS:000362510200003,1,29,1939-1293,26075738,C:\Users\mginda\Desktop\agc1\wos-extract.isi,"Rudd BN, 2015, V29, P679, DOI 10.1037/fam0000106"
